Degrees,Product,Final_Price,Original_Price,Free_Shipping,Merchant,Username,Date,Origin,URL,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6,Category_7,Category_8,Category_9
240,"Amazon: Samsung Galaxy Buds+ Plus, Versión de EE.UU. (Renewed)",955.0,,True,Amazon,Edgaroxavila,2021-10-25,,https://www.promodescuentos.com/ofertas/samsung-galaxy-buds-plus-version-de-eeuu-renewed-662653,Tecnología,Audio y equipos de sonido,Audífonos,Samsung,Galaxy Buds,Audífonos Samsung,,,
162,"Reservamos ""Vanda"": Descuento en boletos de autobús de CDMX-Guadalajara y viceversa",200.0,,False,,Nery_2,2021-10-25,,https://www.promodescuentos.com/ofertas/reservamos-vanda-descuento-en-boletos-de-autobus-de-cdmx-guadalajara-y-viceversa-662656,Servicios y suscripciones,Boletos y eventos,Autobuses y trenes,Servicios de transporte,,,,,
330,"Amazon: Papel Higiénico, Regio Luxury Almond Touch, Hojas Dobles, 18 Rollos ( con Planea y Ahorra )",89.0,,True,Amazon,Alex19860,2021-10-25,,https://www.promodescuentos.com/ofertas/amazon-papel-higienico-regio-luxury-almond-touch-hojas-dobles-18-rollos-con-planea-y-ahorra-662652,Abarrotes y alimentos,Higiene y cuidado personal,Papel higiénico,Productos para el cuidado íntimo,,,,,
433,AMAZON: Mattel Games UNO Minimalista ¡DISPONIBLE! (Cantidad mín 2),92.0,,True,Amazon,AlanRT,2021-10-25,,https://www.promodescuentos.com/ofertas/amazon-mx-mattel-games-uno-minimalista-disponible-662651,"Familia, bebés y niños",Juguetes,Juegos de mesa y otros juegos,Juegos de mesa,,,,,
-104,Cupón para la nueva GoPro Hero 10,400.0,,False,,jos.alberto,2021-10-25,,https://www.promodescuentos.com/cupones/nueva-gopro-hero-10-662649,Tecnología,Cámaras y fotografía,Cámaras deportivas,GoPro,,,,,
240,"Amazon: FOCO iGOTO F10520 Foco led T80, 20W, Luz Fría",42.0,76.0,True,Amazon,jjmartini,2021-10-25,,https://www.promodescuentos.com/ofertas/foco-igoto-f10520-foco-led-t80-20w-luz-fria-662647,Hogar,Iluminación,Focos,,,,,,
-422,"Amazon: Apple iPhone 11, 256GB, Morado (Reacondicionado)",11700.0,12300.0,True,Amazon,edwyns87,2021-10-25,,https://www.promodescuentos.com/ofertas/apple-iphone-11-256gb-morado-reacondicionado-662644,Tecnología,Celulares,Celulares y telefonía,Apple,iPhone,iPhone 11,,,
414,Amazon: Alfombrilla gamer para teclado y ratón de 70x30 cm.,120.0,,True,Amazon,AldoOrozco,2021-10-25,,https://www.promodescuentos.com/ofertas/amazon-prime-mexico-alfombrilla-gamer-para-teclado-y-raton-de-70x30-cm-662642,Tecnología,Computadoras y tablets,Accesorios de videojuegos,Accesorios de PC,,,,,
436,Liverpool: Hasta 70% en adornos de Halloween y día de muertos,,,True,Liverpool,pablocs10,2021-10-25,,https://www.promodescuentos.com/ofertas/liverpool-70-en-adornos-de-halloween-y-dia-de-muertos-662641,Hogar,Decoración y accesorios para el hogar,,,,,,,
238,"Amazon: Sun Zero Easton Cortina con ojales opacos, Gris Carbón, 40"" x 84""",168.0,,True,Amazon,emartinez83,2021-10-25,United States,https://www.promodescuentos.com/ofertas/amazon-sun-zero-easton-cortina-con-ojales-opacos-gris-carbon-40-x-84-662638,Hogar,Decoración y accesorios para el hogar,,,,,,,
