Degrees,Product,Final_Price,Original_Price,Free_Shipping,Merchant,Username,Date,Origin,URL,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6,Category_7,Category_8,Category_9,top_comment_user,top_comment,thumbs_up
186,Soriana Colgate Max White 160 ml,23.0,,False,Soriana,Omar.bahena12,2021-10-26,Local,https://www.promodescuentos.com/ofertas/soriana-colgate-max-white-160-ml-662832,Salud y belleza,Higiene y cuidado personal,Cuidado dental,,,,,,,,,
109,Chedraui: 20% de descuento en toallas húmedas para bebé (Exclusiva tienda en línea),,,False,Chedraui,vlma,2021-10-26,,https://www.promodescuentos.com/ofertas/chedraui-20-de-descuento-en-toallas-humedas-para-bebe-exclusiva-tienda-en-linea-662831,"Familia, bebés y niños",Cuidado infantil,,,,,,,,,,
1129,Amazon: Crucial P2 500 GB 3D NAND NVMe PCIe M.2 SSD hasta 2400 MB/s,999.0,,False,Amazon,rpunk77,,,https://www.promodescuentos.com/ofertas/amazon-crucial-p2-500-gb-3d-nand-nvme-pcie-m2-ssd-hasta-2400-mbs-661656,Tecnología,Computadoras y tablets,Computadoras armadas,SSD,,,,,,,,
-240,PCEL: Google Chromecast 3ra Generación,719.0,999.0,False,PCEL,DjCinder,2021-10-26,,https://www.promodescuentos.com/ofertas/pcel-google-chromecast-3ra-generacion-662828,Tecnología,Televisiones y video,TV Box,,,,,,,,,
700,"GRATIS Libro Bill Gates ""Cómo evitar un desastre climático""",,,False,,rpunk77,2021-10-26,,https://www.promodescuentos.com/ofertas/gratis-libro-bill-gates-como-evitar-un-desastre-climatico-662829,Entretenimiento y tiempo libre,Libros y revistas,Libros,,,,,,,,,
255,Office Depot varías ofertas en sillas,,,False,OfficeDepot,kal5440,2021-10-26,,https://www.promodescuentos.com/ofertas/office-depot-varias-ofertas-en-sillas-662827,Hogar,Muebles,,,,,,,,,,
843,"Costco: Izod, Zapato para Caballero Varios Colores y Tallas",419.0,599.0,False,Costco,Uba,,,https://www.promodescuentos.com/ofertas/costco-izod-zapato-para-caballero-varios-colores-y-tallas-658914,Ropa y accesorios,Calzado,,,,,,,,,,
1708,"Costco: Khombu, Botas Tipo Hiker para Caballero, Café",489.0,699.0,False,Costco,Uba,,,https://www.promodescuentos.com/ofertas/costco-khombu-botas-tipo-hiker-para-caballero-cafe-658369,Ropa y accesorios,Calzado,Zapatos,,,,,,,,,
-353,"Xbox, $100 más 5000 puntos de MS Rewards.",,,False,,kal5440,2021-10-26,,https://www.promodescuentos.com/ofertas/100-mas-5000-puntos-de-ms-rewards-662826,Videojuegos,Juegos,Juegos de Xbox One,Xbox,,,,,,,,
252,Walmart salsa ragu,11.0,,False,Walmart,Pacani2009,2021-10-26,Local,https://www.promodescuentos.com/ofertas/walmart-buen-precio-662825,Abarrotes y alimentos,Alimentos,,,,,,,,,,
826,Avera: parrila de gas con 4 quemadores,1592.0,,False,,irvin.uscangaponce,2021-10-26,,https://www.promodescuentos.com/ofertas/avera-parrila-de-gas-con-4-quemadores-662824,Hogar,Electrodomésticos,,,,,,,,,,
1026,"Costco: Apple iPad Air 10.9"" 64GB Gris Espacial",12699.0,,False,Costco,Alex19860,2021-10-26,Mexico,https://www.promodescuentos.com/ofertas/costco-apple-ipad-air-109-64gb-gris-espacial-662822,Tecnología,Computadoras y tablets,Tablets,Apple,iPad,iPad Air,,,,,,
258,Suburbia: 25% de descuento en suéteres o sudaderas (ó 15% de descuento + hasta 7 MSI),,,False,Suburbia,vlma,2021-10-26,,https://www.promodescuentos.com/ofertas/suburbia-25-de-descuento-en-sueteres-o-sudaderas-o-15-de-descuento-hasta-7-msi-662823,Ropa y accesorios,Ropa,,,,,,,,,,
-194,"Linio, Paquete De Almohadas Spring Air 2 Pack 100% Algodón - Firme",559.0,699.0,False,Linio,ManuelABC,2021-10-26,,https://www.promodescuentos.com/ofertas/paquete-de-almohadas-spring-air-2-pack-100-algodon-firme-662820,Hogar,Decoración y accesorios para el hogar,,,,,,,,,,
136,McDonald's: Martes de McDonald's 26 Octubre,,,False,McDonald's,vlma,2021-10-26,,https://www.promodescuentos.com/ofertas/mcdonalds-martes-de-mcdonalds-26-octubre-662818,Servicios y suscripciones,Restaurantes,,,,,,,,,,
123,Chedraui: Envío gratis de tu súper en la compra mínima de $150 en productos Colgate seleccionados,,,False,Chedraui,vlma,2021-10-26,,https://www.promodescuentos.com/ofertas/chedraui-envio-gratis-de-tu-super-en-la-compra-minima-de-150-en-productos-colgate-seleccionados-662817,Salud y belleza,Higiene y cuidado personal,Cuidado dental,,,,,,,,,
762,Costco: Apple Beats Studio Buds Blancos,2699.0,,False,Costco,adrian.gutierrezv7F,2021-10-26,,https://www.promodescuentos.com/ofertas/apple-beats-studio-buds-blancos-662810,Tecnología,Audio y equipos de sonido,Audífonos,Apple,,,,,,,,
