Degrees,Product,Final_Price,Original_Price,Free_Shipping,Merchant,Username,Date,Origin,URL,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6,Category_7,Category_8,Category_9
303,Amazon Buen Fin: Nueva Kindle Paperwhite 2021,2299.0,2799.0,True,Amazon,m21t,2021-11-09,,https://www.promodescuentos.com/ofertas/amazon-nueva-kindle-paperwhite-2021-668411,Tecnología,Computadoras y tablets,E-Readers,Kindle Paperwhite,,,,,
29,Amazon: DJI Drone Mavic Mini 2 Combo,15838.0,16999.0,True,Amazon,Daniel_LopezMxp,2021-11-09,,https://www.promodescuentos.com/ofertas/dji-drone-mavic-mini-2-combo-668406,Tecnología,Drones,,,,,,,
308,"Amazon: Pantalla TCL 55"" 4K Smart TV LED 55S443-MX Roku TV",8674.0,10995.0,True,Amazon,samuel.rosalesGL0,2021-11-09,,https://www.promodescuentos.com/ofertas/amazon-668426,Tecnología,Pantallas,Televisiones y video,Roku,Smart TV,Pantallas TCL,,,
246,AURRERA: ROKU EXPRESS ($299 con cupón newsletter),599.0,899.0,False,BodegaAurrera,think_18,2021-11-09,,https://www.promodescuentos.com/ofertas/aurrera-roku-express-con-cupon-nuevo-usuario-668399,Tecnología,Televisiones y video,TV Box,Roku,,,,,
232,Bodega Aurrera: Cupón de 200 de descuento por 1500 de compra solo dura 2 horas aprovechen,200.0,,False,BodegaAurrera,Misael_HernandezNavarrete,2021-11-09,,https://www.promodescuentos.com/cupones/cupon-de-200-de-descuento-por-cada-1500-solo-dura-2-horas-aprovechen-668423,Servicios y suscripciones,,,,,,,,
146,Amazon: Nuevos Echo Buds (2da generación) - Audífonos inalámbricos con cancelación activa de ruido y Alexa - Negro,2099.0,2899.0,True,Amazon,LaLin_Gonzalez,2021-11-09,,https://www.promodescuentos.com/ofertas/amazon-nuevos-echo-buds-2da-generacion-audifonos-inalambricos-con-cancelacion-activa-de-ruido-y-alexa-negro-668420,Tecnología,Audio y equipos de sonido,Audífonos,Samsung,Audífonos In-Ear,Galaxy Buds,,,
234,El Palacio de Hierro : HARMAN KARDON Bocina Inalámbrica Bluetooth Neo gris,1019.0,,False,ElPalaciodeHierro,JuanCarlos_DiazArias,2021-11-09,,https://www.promodescuentos.com/ofertas/palacio-de-hierro-harman-kardon-bocina-inalambrica-bluetooth-neo-gris-668397,Tecnología,Audio y equipos de sonido,Bocinas,,,,,,
93,Google Play: Homo Machina,0.0,79.0,False,GooglePlay,Victor_Grimaldo,2021-11-09,,https://www.promodescuentos.com/ofertas/homo-machina-668412,Videojuegos,Gratis,Apps y software,Aplicaciones Android,,,,,
116,Movistar: Samsung A20s,2650.0,,True,Movistar,ruben.alberto,2021-11-09,,https://www.promodescuentos.com/ofertas/samsung-a20s-ideal-pa-la-esposa-y-rl-668405,Tecnología,Celulares,Celulares y telefonía,Samsung,Celulares Samsung,,,,
245,"Amazon: Echo, la grande",1699.0,,True,Amazon,Sr_EDGAR,2021-11-09,,https://www.promodescuentos.com/ofertas/amazon-echo-la-grande-668404,Tecnología,Audio y equipos de sonido,Hogar inteligente,Bocinas,Bocinas inteligentes,Amazon Echo,,,
-47,El Palacio de Hierro : Harman kardon citation 200 portátil.,5399.0,,False,ElPalaciodeHierro,JuanCarlos_DiazArias,2021-11-09,,https://www.promodescuentos.com/ofertas/palacio-de-hierro-harman-kardon-citation-200-portatil-668389,Tecnología,Audio y equipos de sonido,Bocinas,,,,,,
439,Flexi: Zapato de vestir para oficina de piel (60% de descuento en productos seleccionados),379.0,,False,Flexi,tomas.lerma,2021-11-09,,https://www.promodescuentos.com/ofertas/hasta-60-de-descuento-en-zapatos-flexi-668403,Ropa y accesorios,Calzado,,,,,,,
606,Amazon: Echo Dot 4 con reloj,999.0,1299.0,True,Amazon,elmis.IKU,2021-11-09,,https://www.promodescuentos.com/ofertas/echo-dot-4-con-reloj-668398,Tecnología,Audio y equipos de sonido,Hogar inteligente,Bocinas,Bocinas inteligentes,Amazon Echo,,,
526,Amazon: Echo Show 8,1799.0,,True,Amazon,LaLin_Gonzalez,2021-11-09,,https://www.promodescuentos.com/ofertas/amazon-echo-show-8-668396,Tecnología,Audio y equipos de sonido,Hogar inteligente,Bocinas,Bocinas inteligentes,Amazon Echo,,,
845,Amazon: Nuevo Echo Dot (4ta Gen),799.0,,True,Amazon,conz,2021-11-09,,https://www.promodescuentos.com/ofertas/amazon-nuevo-echo-dot-4ta-gen-668393,Tecnología,Audio y equipos de sonido,Hogar inteligente,Bocinas,Bocinas inteligentes,Amazon Echo,,,
3177,Amazon: Echo Dot (3ra generación) - Bocina inteligente con Alexa,499.0,1000.0,True,Amazon,PromodescuenteroEspacialX,2021-11-09,,https://www.promodescuentos.com/ofertas/amazon-echo-dot-3ra-generacion-bocina-inteligente-con-alexa-668391,Tecnología,Audio y equipos de sonido,Hogar inteligente,Bocinas,Bocinas inteligentes,Amazon Echo,,,
106,El Palacio de Hierro: Cartera Lacoste Azul,597.0,,False,ElPalaciodeHierro,Gio88,2021-11-09,,https://www.promodescuentos.com/ofertas/cartera-lacoste-azul-668390,Ropa y accesorios,Accesorios de moda,Equipaje,Carteras,,,,,
